"","x"
"1","TCGA-18-3406-01A"
"2","TCGA-18-3407-01A"
"3","TCGA-18-3408-01A"
"4","TCGA-18-3409-01A"
"5","TCGA-18-3410-01A"
"6","TCGA-18-3411-01A"
"7","TCGA-18-3412-01A"
"8","TCGA-18-3414-01A"
"9","TCGA-18-3415-01A"
"10","TCGA-18-3416-01A"
"11","TCGA-18-3417-01A"
"12","TCGA-18-3419-01A"
"13","TCGA-18-3421-01A"
"14","TCGA-18-4083-01A"
"15","TCGA-18-4086-01A"
"16","TCGA-18-4721-01A"
"17","TCGA-18-5592-01A"
"18","TCGA-18-5595-01A"
"19","TCGA-21-1070-01A"
"20","TCGA-21-1071-01A"
"21","TCGA-21-1072-01A"
"22","TCGA-21-1075-01A"
"23","TCGA-21-1076-01A"
"24","TCGA-21-1077-01A"
"25","TCGA-21-1078-01A"
"26","TCGA-21-1079-01A"
"27","TCGA-21-1080-01A"
"28","TCGA-21-1081-01A"
"29","TCGA-21-1082-01A"
"30","TCGA-21-1083-01A"
"31","TCGA-21-5782-01A"
"32","TCGA-21-5783-01A"
"33","TCGA-21-5784-01A"
"34","TCGA-21-5786-01A"
"35","TCGA-21-5787-01A"
"36","TCGA-21-A5DI-01A"
"37","TCGA-22-0940-01A"
"38","TCGA-22-0944-01A"
"39","TCGA-22-1000-01A"
"40","TCGA-22-1002-01A"
"41","TCGA-22-1005-01A"
"42","TCGA-22-1011-01A"
"43","TCGA-22-1012-01A"
"44","TCGA-22-1016-01A"
"45","TCGA-22-1017-01A"
"46","TCGA-22-4591-01A"
"47","TCGA-22-4593-01A"
"48","TCGA-22-4594-01A"
"49","TCGA-22-4595-01A"
"50","TCGA-22-4596-01A"
"51","TCGA-22-4599-01A"
"52","TCGA-22-4601-01A"
"53","TCGA-22-4604-01A"
"54","TCGA-22-4605-01A"
"55","TCGA-22-4607-01A"
"56","TCGA-22-4609-01A"
"57","TCGA-22-4613-01A"
"58","TCGA-22-5471-01A"
"59","TCGA-22-5472-01A"
"60","TCGA-22-5473-01A"
"61","TCGA-22-5474-01A"
"62","TCGA-22-5477-01A"
"63","TCGA-22-5478-01A"
"64","TCGA-22-5479-01A"
"65","TCGA-22-5480-01A"
"66","TCGA-22-5481-01A"
"67","TCGA-22-5482-01A"
"68","TCGA-22-5483-01A"
"69","TCGA-22-5485-01A"
"70","TCGA-22-5489-01A"
"71","TCGA-22-5491-01A"
"72","TCGA-22-5492-01A"
"73","TCGA-22-A5C4-01A"
"74","TCGA-33-4532-01A"
"75","TCGA-33-4533-01A"
"76","TCGA-33-4538-01A"
"77","TCGA-33-4547-01A"
"78","TCGA-33-4566-01A"
"79","TCGA-33-4582-01A"
"80","TCGA-33-4583-01A"
"81","TCGA-33-4586-01A"
"82","TCGA-33-4587-01A"
"83","TCGA-33-4589-01A"
"84","TCGA-33-6737-01A"
"85","TCGA-33-6738-01A"
"86","TCGA-33-A4WN-01A"
"87","TCGA-33-A5GW-01A"
"88","TCGA-33-AAS8-01A"
"89","TCGA-33-AASB-01A"
"90","TCGA-33-AASD-01A"
"91","TCGA-33-AASI-01A"
"92","TCGA-33-AASJ-01A"
"93","TCGA-33-AASL-01A"
"94","TCGA-34-2596-01A"
"95","TCGA-34-2600-01A"
"96","TCGA-34-2608-01A"
"97","TCGA-34-5231-01A"
"98","TCGA-34-5232-01A"
"99","TCGA-34-5234-01A"
"100","TCGA-34-5236-01A"
"101","TCGA-34-5239-01A"
"102","TCGA-34-5240-01A"
"103","TCGA-34-5241-01A"
"104","TCGA-34-5927-01A"
"105","TCGA-34-5928-01A"
"106","TCGA-34-5929-01A"
"107","TCGA-34-7107-01A"
"108","TCGA-34-8454-01A"
"109","TCGA-34-8455-01A"
"110","TCGA-34-8456-01A"
"111","TCGA-34-A5IX-01A"
"112","TCGA-37-3783-01A"
"113","TCGA-37-3789-01A"
"114","TCGA-37-3792-01A"
"115","TCGA-37-4129-01A"
"116","TCGA-37-4130-01A"
"117","TCGA-37-4132-01A"
"118","TCGA-37-4133-01A"
"119","TCGA-37-4135-01A"
"120","TCGA-37-4141-01A"
"121","TCGA-37-5819-01A"
"122","TCGA-37-A5EL-01A"
"123","TCGA-37-A5EM-01A"
"124","TCGA-37-A5EN-01A"
"125","TCGA-39-5011-01A"
"126","TCGA-39-5016-01A"
"127","TCGA-39-5019-01A"
"128","TCGA-39-5021-01A"
"129","TCGA-39-5022-01A"
"130","TCGA-39-5024-01A"
"131","TCGA-39-5027-01A"
"132","TCGA-39-5028-01A"
"133","TCGA-39-5029-01A"
"134","TCGA-39-5030-01A"
"135","TCGA-39-5031-01A"
"136","TCGA-39-5034-01A"
"137","TCGA-39-5035-01A"
"138","TCGA-39-5036-01A"
"139","TCGA-39-5037-01A"
"140","TCGA-39-5039-01A"
"141","TCGA-39-5040-01A"
"142","TCGA-43-2576-01A"
"143","TCGA-43-2578-01A"
"144","TCGA-43-2581-01A"
"145","TCGA-43-3394-01A"
"146","TCGA-43-3920-01A"
"147","TCGA-43-5668-01A"
"148","TCGA-43-5670-01A"
"149","TCGA-43-6143-01A"
"150","TCGA-43-6647-01A"
"151","TCGA-43-6770-01A"
"152","TCGA-43-6771-01A"
"153","TCGA-43-6773-01A"
"154","TCGA-43-7656-01A"
"155","TCGA-43-7657-01A"
"156","TCGA-43-7658-01A"
"157","TCGA-43-8115-01A"
"158","TCGA-43-8116-01A"
"159","TCGA-43-8118-01A"
"160","TCGA-43-A474-01A"
"161","TCGA-43-A475-01A"
"162","TCGA-43-A56U-01A"
"163","TCGA-43-A56V-01A"
"164","TCGA-46-3765-01A"
"165","TCGA-46-3766-01A"
"166","TCGA-46-3767-01A"
"167","TCGA-46-3768-01A"
"168","TCGA-46-3769-01A"
"169","TCGA-46-6025-01A"
"170","TCGA-46-6026-01A"
"171","TCGA-51-4079-01A"
"172","TCGA-51-4080-01A"
"173","TCGA-51-4081-01A"
"174","TCGA-51-6867-01A"
"175","TCGA-52-7622-01A"
"176","TCGA-52-7809-01A"
"177","TCGA-52-7810-01A"
"178","TCGA-52-7811-01A"
"179","TCGA-52-7812-01A"
"180","TCGA-56-1622-01A"
"181","TCGA-56-5897-01A"
"182","TCGA-56-5898-01A"
"183","TCGA-56-6545-01A"
"184","TCGA-56-6546-01A"
"185","TCGA-56-7221-01A"
"186","TCGA-56-7222-01A"
"187","TCGA-56-7223-01A"
"188","TCGA-56-7579-01A"
"189","TCGA-56-7580-01A"
"190","TCGA-56-7582-01A"
"191","TCGA-56-7730-01A"
"192","TCGA-56-7731-01A"
"193","TCGA-56-7822-01A"
"194","TCGA-56-7823-01B"
"195","TCGA-56-8082-01A"
"196","TCGA-56-8083-01A"
"197","TCGA-56-8201-01A"
"198","TCGA-56-8304-01A"
"199","TCGA-56-8305-01A"
"200","TCGA-56-8307-01A"
"201","TCGA-56-8308-01A"
"202","TCGA-56-8309-01A"
"203","TCGA-56-8503-01A"
"204","TCGA-56-8504-01A"
"205","TCGA-56-8622-01A"
"206","TCGA-56-8623-01A"
"207","TCGA-56-8624-01A"
"208","TCGA-56-8625-01A"
"209","TCGA-56-8626-01A"
"210","TCGA-56-8628-01A"
"211","TCGA-56-8629-01A"
"212","TCGA-56-A49D-01A"
"213","TCGA-56-A4BW-01A"
"214","TCGA-56-A4BX-01A"
"215","TCGA-56-A4BY-01A"
"216","TCGA-56-A4ZJ-01A"
"217","TCGA-56-A4ZK-01A"
"218","TCGA-56-A5DR-01A"
"219","TCGA-56-A5DS-01A"
"220","TCGA-56-A62T-01A"
"221","TCGA-58-8386-01A"
"222","TCGA-58-8387-01A"
"223","TCGA-58-8388-01A"
"224","TCGA-58-8390-01A"
"225","TCGA-58-8391-01A"
"226","TCGA-58-8392-01A"
"227","TCGA-58-8393-01A"
"228","TCGA-58-A46J-01A"
"229","TCGA-58-A46K-01A"
"230","TCGA-58-A46L-01A"
"231","TCGA-58-A46M-01A"
"232","TCGA-58-A46N-01A"
"233","TCGA-60-2695-01A"
"234","TCGA-60-2696-01A"
"235","TCGA-60-2697-01A"
"236","TCGA-60-2698-01A"
"237","TCGA-60-2703-01A"
"238","TCGA-60-2704-01A"
"239","TCGA-60-2706-01A"
"240","TCGA-60-2707-01A"
"241","TCGA-60-2708-01A"
"242","TCGA-60-2709-01A"
"243","TCGA-60-2710-01A"
"244","TCGA-60-2711-01A"
"245","TCGA-60-2712-01A"
"246","TCGA-60-2713-01A"
"247","TCGA-60-2714-01A"
"248","TCGA-60-2715-01A"
"249","TCGA-60-2716-01A"
"250","TCGA-60-2719-01A"
"251","TCGA-60-2720-01A"
"252","TCGA-60-2721-01A"
"253","TCGA-60-2722-01A"
"254","TCGA-60-2723-01A"
"255","TCGA-60-2724-01A"
"256","TCGA-60-2725-01A"
"257","TCGA-60-2726-01A"
"258","TCGA-63-5128-01A"
"259","TCGA-63-5131-01A"
"260","TCGA-63-6202-01A"
"261","TCGA-63-7020-01A"
"262","TCGA-63-7021-01A"
"263","TCGA-63-7022-01A"
"264","TCGA-63-7023-01A"
"265","TCGA-63-A5M9-01A"
"266","TCGA-63-A5MB-01A"
"267","TCGA-63-A5MG-01A"
"268","TCGA-63-A5MH-01A"
"269","TCGA-63-A5MI-01A"
"270","TCGA-63-A5MJ-01A"
"271","TCGA-63-A5ML-01A"
"272","TCGA-63-A5MM-01A"
"273","TCGA-63-A5MN-01A"
"274","TCGA-63-A5MP-01A"
"275","TCGA-63-A5MR-01A"
"276","TCGA-63-A5MS-01A"
"277","TCGA-63-A5MT-01A"
"278","TCGA-63-A5MU-01A"
"279","TCGA-63-A5MV-01A"
"280","TCGA-63-A5MW-01A"
"281","TCGA-63-A5MY-01A"
"282","TCGA-66-2727-01A"
"283","TCGA-66-2734-01A"
"284","TCGA-66-2737-01A"
"285","TCGA-66-2742-01A"
"286","TCGA-66-2744-01A"
"287","TCGA-66-2753-01A"
"288","TCGA-66-2754-01A"
"289","TCGA-66-2755-01A"
"290","TCGA-66-2756-01A"
"291","TCGA-66-2757-01A"
"292","TCGA-66-2758-01A"
"293","TCGA-66-2759-01A"
"294","TCGA-66-2763-01A"
"295","TCGA-66-2765-01A"
"296","TCGA-66-2766-01A"
"297","TCGA-66-2767-01A"
"298","TCGA-66-2768-01A"
"299","TCGA-66-2769-01A"
"300","TCGA-66-2770-01A"
"301","TCGA-66-2771-01A"
"302","TCGA-66-2773-01A"
"303","TCGA-66-2777-01A"
"304","TCGA-66-2778-01A"
"305","TCGA-66-2780-01A"
"306","TCGA-66-2781-01A"
"307","TCGA-66-2782-01A"
"308","TCGA-66-2783-01A"
"309","TCGA-66-2785-01A"
"310","TCGA-66-2786-01A"
"311","TCGA-66-2787-01A"
"312","TCGA-66-2788-01A"
"313","TCGA-66-2789-01A"
"314","TCGA-66-2790-01A"
"315","TCGA-66-2791-01A"
"316","TCGA-66-2792-01A"
"317","TCGA-66-2793-01A"
"318","TCGA-66-2794-01A"
"319","TCGA-66-2795-01A"
"320","TCGA-66-2800-01A"
"321","TCGA-68-7755-01A"
"322","TCGA-68-7756-01A"
"323","TCGA-68-7757-01B"
"324","TCGA-68-8250-01A"
"325","TCGA-68-8251-01A"
"326","TCGA-68-A59I-01A"
"327","TCGA-68-A59J-01A"
"328","TCGA-6A-AB49-01A"
"329","TCGA-70-6722-01A"
"330","TCGA-70-6723-01A"
"331","TCGA-77-6842-01A"
"332","TCGA-77-6843-01A"
"333","TCGA-77-6844-01A"
"334","TCGA-77-6845-01A"
"335","TCGA-77-7138-01A"
"336","TCGA-77-7139-01A"
"337","TCGA-77-7140-01A"
"338","TCGA-77-7141-01A"
"339","TCGA-77-7142-01A"
"340","TCGA-77-7335-01A"
"341","TCGA-77-7337-01A"
"342","TCGA-77-7338-01A"
"343","TCGA-77-7463-01A"
"344","TCGA-77-7465-01A"
"345","TCGA-77-8007-01A"
"346","TCGA-77-8008-01A"
"347","TCGA-77-8009-01A"
"348","TCGA-77-8128-01A"
"349","TCGA-77-8130-01A"
"350","TCGA-77-8131-01A"
"351","TCGA-77-8133-01A"
"352","TCGA-77-8136-01A"
"353","TCGA-77-8138-01A"
"354","TCGA-77-8139-01A"
"355","TCGA-77-8140-01A"
"356","TCGA-77-8143-01A"
"357","TCGA-77-8144-01A"
"358","TCGA-77-8145-01A"
"359","TCGA-77-8146-01A"
"360","TCGA-77-8148-01A"
"361","TCGA-77-8150-01A"
"362","TCGA-77-8153-01A"
"363","TCGA-77-8154-01A"
"364","TCGA-77-8156-01A"
"365","TCGA-77-A5FZ-01A"
"366","TCGA-77-A5G1-01A"
"367","TCGA-77-A5G3-01A"
"368","TCGA-77-A5G6-01A"
"369","TCGA-77-A5G7-01B"
"370","TCGA-77-A5G8-01B"
"371","TCGA-77-A5GA-01A"
"372","TCGA-77-A5GB-01B"
"373","TCGA-77-A5GF-01A"
"374","TCGA-77-A5GH-01A"
"375","TCGA-79-5596-01A"
"376","TCGA-85-6175-01A"
"377","TCGA-85-6560-01A"
"378","TCGA-85-6561-01A"
"379","TCGA-85-6798-01A"
"380","TCGA-85-7696-01A"
"381","TCGA-85-7697-01A"
"382","TCGA-85-7698-01A"
"383","TCGA-85-7699-01A"
"384","TCGA-85-7710-01A"
"385","TCGA-85-7843-01A"
"386","TCGA-85-7844-01A"
"387","TCGA-85-7950-01A"
"388","TCGA-85-8048-01A"
"389","TCGA-85-8049-01A"
"390","TCGA-85-8052-01A"
"391","TCGA-85-8070-01A"
"392","TCGA-85-8071-01A"
"393","TCGA-85-8072-01A"
"394","TCGA-85-8276-01A"
"395","TCGA-85-8277-01A"
"396","TCGA-85-8287-01A"
"397","TCGA-85-8288-01A"
"398","TCGA-85-8350-01A"
"399","TCGA-85-8351-01A"
"400","TCGA-85-8352-01A"
"401","TCGA-85-8353-01A"
"402","TCGA-85-8354-01A"
"403","TCGA-85-8355-01A"
"404","TCGA-85-8479-01A"
"405","TCGA-85-8481-01A"
"406","TCGA-85-8580-01A"
"407","TCGA-85-8582-01A"
"408","TCGA-85-8584-01A"
"409","TCGA-85-8664-01A"
"410","TCGA-85-8666-01A"
"411","TCGA-85-A4CL-01A"
"412","TCGA-85-A4CN-01A"
"413","TCGA-85-A4JB-01A"
"414","TCGA-85-A4JC-01A"
"415","TCGA-85-A4PA-01A"
"416","TCGA-85-A4QQ-01A"
"417","TCGA-85-A4QR-01A"
"418","TCGA-85-A50M-01A"
"419","TCGA-85-A50Z-01A"
"420","TCGA-85-A510-01A"
"421","TCGA-85-A511-01A"
"422","TCGA-85-A512-01A"
"423","TCGA-85-A513-01A"
"424","TCGA-85-A53L-01A"
"425","TCGA-85-A5B5-01A"
"426","TCGA-90-6837-01A"
"427","TCGA-90-7766-01A"
"428","TCGA-90-7767-01A"
"429","TCGA-90-7769-01A"
"430","TCGA-90-7964-01A"
"431","TCGA-90-A4ED-01A"
"432","TCGA-90-A4EE-01A"
"433","TCGA-90-A59Q-01A"
"434","TCGA-92-7340-01A"
"435","TCGA-92-7341-01A"
"436","TCGA-92-8063-01A"
"437","TCGA-92-8064-01A"
"438","TCGA-92-8065-01A"
"439","TCGA-94-7033-01A"
"440","TCGA-94-7557-01A"
"441","TCGA-94-7943-01A"
"442","TCGA-94-8035-01A"
"443","TCGA-94-8490-01A"
"444","TCGA-94-8491-01A"
"445","TCGA-94-A4VJ-01A"
"446","TCGA-94-A5I4-01A"
"447","TCGA-94-A5I6-01A"
"448","TCGA-96-7544-01A"
"449","TCGA-96-7545-01A"
"450","TCGA-96-8169-01A"
"451","TCGA-96-8170-01A"
"452","TCGA-96-A4JK-01A"
"453","TCGA-96-A4JL-01A"
"454","TCGA-98-7454-01A"
"455","TCGA-98-8020-01A"
"456","TCGA-98-8021-01A"
"457","TCGA-98-8022-01A"
"458","TCGA-98-8023-01A"
"459","TCGA-98-A538-01A"
"460","TCGA-98-A539-01A"
"461","TCGA-98-A53A-01A"
"462","TCGA-98-A53B-01A"
"463","TCGA-98-A53C-01A"
"464","TCGA-98-A53D-01A"
"465","TCGA-98-A53H-01A"
"466","TCGA-98-A53I-01A"
"467","TCGA-98-A53J-01A"
"468","TCGA-J1-A4AH-01A"
"469","TCGA-L3-A4E7-01A"
"470","TCGA-L3-A524-01A"
"471","TCGA-LA-A446-01A"
"472","TCGA-LA-A7SW-01A"
"473","TCGA-MF-A522-01A"
"474","TCGA-NC-A5HD-01A"
"475","TCGA-NC-A5HE-01A"
"476","TCGA-NC-A5HF-01A"
"477","TCGA-NC-A5HG-01A"
"478","TCGA-NC-A5HH-01A"
"479","TCGA-NC-A5HI-01A"
"480","TCGA-NC-A5HJ-01A"
"481","TCGA-NC-A5HK-01A"
"482","TCGA-NC-A5HL-01A"
"483","TCGA-NC-A5HM-01A"
"484","TCGA-NC-A5HN-01A"
"485","TCGA-NC-A5HO-01A"
"486","TCGA-NC-A5HP-01A"
"487","TCGA-NC-A5HQ-01A"
"488","TCGA-NC-A5HR-01A"
"489","TCGA-NC-A5HT-01A"
"490","TCGA-NK-A5CR-01A"
"491","TCGA-NK-A5CT-01A"
"492","TCGA-NK-A5CX-01A"
"493","TCGA-NK-A5D1-01A"
"494","TCGA-NK-A7XE-01A"
"495","TCGA-O2-A52N-01A"
"496","TCGA-O2-A52Q-01A"
"497","TCGA-O2-A52S-01A"
"498","TCGA-O2-A52V-01A"
"499","TCGA-O2-A52W-01A"
"500","TCGA-O2-A5IB-01A"
"501","TCGA-XC-AA0X-01A"
